# 20240725_151047
alpha,Dpi0Re,Dpi0Im
0.540895,0.0101374,0
0.542467,0.0113158,0
0.54404,0.0125003,0
0.545612,0.0136908,0
0.547184,0.0148886,0
0.548757,0.0160937,0
0.550329,0.0173059,0
0.551901,0.0185253,0
0.553474,0.0197513,0
0.555046,0.0209838,0
0.556619,0.022224,0
0.558191,0.0234715,0
0.559763,0.0247244,0
0.561336,0.0259824,0
0.562908,0.0272463,0
0.56448,0.0285171,0
0.566053,0.0297937,0
0.567625,0.0310745,0
0.569197,0.0323595,0
0.57077,0.0336498,0
0.572342,0.0349463,0
0.573915,0.0362497,0
0.575487,0.0375599,0
0.577059,0.038877,0
0.578632,0.0402007,0
0.580204,0.041531,0
0.581776,0.0428675,0
0.583349,0.0442094,0
0.584921,0.0455542,0
0.586494,0.0469013,0
0.588066,0.0482522,0
0.589638,0.0496087,0
0.591211,0.0509723,0
0.592783,0.0523445,0
0.594355,0.0537246,0
0.595928,0.055112,0
0.5975,0.0565076,0
0.599072,0.0579124,0
0.600645,0.059317,0
0.602217,0.0607264,0
0.60379,0.0621516,0
0.605362,0.0635775,0
0.606934,0.0649934,0
0.608507,0.0664059,0
0.610079,0.0678173,0
0.611651,0.0692297,0
0.613224,0.0706454,0
0.614796,0.0720669,0
0.616369,0.0735109,0
0.617941,0.0749703,0
0.619513,0.0764374,0
0.621086,0.0779039,0
0.622658,0.0793688,0
0.62423,0.0808371,0
0.625803,0.0823085,0
0.627375,0.0837865,0
0.628947,0.0852743,0
0.63052,0.0867499,0
0.632092,0.0882159,0
0.633665,0.0896789,0
0.635237,0.0911438,0
0.636809,0.0926128,0
0.638382,0.0940808,0
0.639954,0.0955508,0
0.641526,0.0970276,0
0.643099,0.0985168,0
0.644671,0.100027,0
0.646244,0.101538,0
0.647816,0.103049,0
0.649388,0.104557,0
0.650961,0.106074,0
0.652533,0.107612,0
0.654105,0.10911,0
0.655678,0.11058,0
0.65725,0.112035,0
0.658822,0.113485,0
0.660395,0.114941,0
0.661967,0.116402,0
0.66354,0.117903,0
0.665112,0.119429,0
0.666684,0.120941,0
0.668257,0.122442,0
0.669829,0.123941,0
0.671401,0.125442,0
0.672974,0.126959,0
0.674546,0.128436,0
0.676119,0.129846,0
0.677691,0.131264,0
0.679263,0.132769,0
0.680836,0.134408,0
0.682408,0.136029,0
0.68398,0.137634,0
0.685553,0.138873,0
0.687125,0.140103,0
0.688697,0.141563,0
0.69027,0.143095,0
0.691842,0.144708,0
0.693415,0.146164,0
0.694987,0.147542,0
