# 20240731_151921
alpha,rRe,rIm
0.650961,8.00453,0
0.652533,8.01819,0
0.654105,8.03179,0
0.655678,8.04531,0
0.65725,8.05875,0
0.658822,8.07213,0
0.660395,8.08543,0
0.661967,8.09866,0
0.66354,8.11182,0
0.665112,8.1249,0
0.666684,8.13791,0
0.668257,8.15084,0
0.669829,8.1637,0
0.671401,8.17648,0
0.672974,8.18919,0
0.674546,8.20182,0
0.676119,8.21438,0
0.677691,8.22686,0
0.679263,8.23926,0
0.680836,8.25158,0
0.682408,8.26383,0
0.68398,8.276,0
0.685553,8.2881,0
0.687125,8.30011,0
0.688697,8.31205,0
0.69027,8.3239,0
0.691842,8.33568,0
0.693415,8.34738,0
0.694987,8.359,0
0.696559,8.37054,0
0.698132,8.382,0
0.699704,8.39337,0
0.701276,8.40467,0
0.702849,8.41589,0
0.704421,8.42702,0
0.705994,8.43808,0
0.707566,8.44905,0
0.709138,8.45994,0
0.710711,8.47075,0
0.712283,8.48147,0
0.713855,8.49211,0
0.715428,8.50267,0
0.717,8.51315,0
0.718572,8.52354,0
0.720145,8.53385,0
0.721717,8.54407,0
0.72329,8.55422,0
0.724862,8.56427,0
0.726434,8.57424,0
0.728007,8.58413,0
0.729579,8.59393,0
0.731151,8.60365,0
0.732724,8.61328,0
0.734296,8.62282,0
0.735869,8.63228,0
0.737441,8.64165,0
0.739013,8.65094,0
0.740586,8.66014,0
0.742158,8.66925,0
0.74373,8.67828,0
0.745303,8.68722,0
0.746875,8.69607,0
0.748447,8.70484,0
0.75002,8.71352,0
0.751592,8.72211,0
0.753165,8.73061,0
0.754737,8.73902,0
0.756309,8.74735,0
0.757882,8.75559,0
0.759454,8.76374,0
0.761026,8.7718,0
0.762599,8.77977,0
0.764171,8.78765,0
0.765744,8.79545,0
0.767316,8.80315,0
0.768888,8.81077,0
0.770461,8.8183,0
0.772033,8.82573,0
0.773605,8.83308,0
0.775178,8.84034,0
0.77675,8.84751,0
0.778323,8.85459,0
0.779895,8.86158,0
0.781467,8.86847,0
0.78304,8.87528,0
0.784612,8.882,0
0.786184,8.88863,0
0.787757,8.89517,0
0.789329,8.90162,0
0.790901,8.90798,0
0.792474,8.91424,0
0.794046,8.92042,0
0.795619,8.92651,0
0.797191,8.9325,0
0.798763,8.93841,0
0.800336,8.94422,0
0.801908,8.94995,0
0.80348,8.95558,0
0.805053,8.96113,0
0.806625,8.96658,0
0.808198,8.97194,0
0.80977,8.97721,0
0.811342,8.98239,0
0.812915,8.98749,0
0.814487,8.99249,0
0.816059,8.99739,0
0.817632,9.00221,0
0.819204,9.00694,0
0.820776,9.01158,0
0.822349,9.01613,0
0.823921,9.02059,0
0.825494,9.02496,0
0.827066,9.02924,0
0.828638,9.03342,0
0.830211,9.03752,0
