# 20240725_151406
alpha,DrRe,DrIm
0.654105,8.67739,0
0.655678,8.61113,0
0.65725,8.529,0
0.658822,8.44361,0
0.660395,8.367,0
0.661967,8.30088,0
0.66354,8.26659,0
0.665112,8.24016,0
0.666684,8.20754,0
0.668257,8.16852,0
0.669829,8.13009,0
0.671401,8.09423,0
0.672974,8.06461,0
0.674546,8.02095,0
0.676119,7.95259,0
0.677691,7.88215,0
0.679263,7.83424,0
0.680836,7.83423,0
0.682408,7.87317,0
0.68398,7.8598,0
0.685553,7.698,0
0.687125,7.54184,0
0.688697,7.4767,0
0.69027,7.47745,0
0.691842,7.45989,0
0.693415,7.40553,0
0.694987,7.33656,0
0.696559,7.27592,0
0.698132,7.23711,0
0.699704,7.20358,0
0.701276,7.16419,0
0.702849,7.12123,0
0.704421,7.07784,0
0.705994,7.04296,0
0.707566,6.99841,0
0.709138,6.93325,0
0.710711,6.85465,0
0.712283,6.76981,0
0.713855,6.68595,0
0.715428,6.61026,0
0.717,6.54954,0
0.718572,6.50377,0
0.720145,6.4618,0
0.721717,6.41564,0
0.72329,6.37182,0
0.724862,6.32688,0
0.726434,6.28085,0
0.728007,6.23462,0
0.729579,6.18892,0
0.731151,6.14372,0
0.732724,6.09839,0
0.734296,6.05227,0
0.735869,6.00516,0
0.737441,5.95941,0
0.739013,5.91193,0
0.740586,5.86478,0
0.742158,5.82476,0
0.74373,5.76674,0
0.745303,5.6913,0
0.746875,5.6058,0
0.748447,5.51753,0
0.75002,5.43376,0
0.751592,5.36125,0
0.753165,5.29836,0
0.754737,5.24923,0
0.756309,5.20327,0
0.757882,5.15241,0
0.759454,5.10373,0
0.761026,5.05411,0
0.762599,5.00373,0
0.764171,4.95316,0
0.765744,4.90285,0
0.767316,4.8526,0
0.768888,4.80208,0
0.770461,4.75125,0
0.772033,4.70033,0
0.773605,4.64924,0
0.775178,4.59798,0
0.77675,4.54654,0
0.778323,4.49505,0
0.779895,4.44345,0
0.781467,4.39166,0
0.78304,4.33956,0
0.784612,4.28713,0
0.786184,4.23515,0
0.787757,4.18202,0
0.789329,4.1327,0
0.790901,4.0716,0
0.792474,3.99821,0
0.794046,3.91841,0
0.795619,3.83777,0
0.797191,3.76143,0
0.798763,3.68459,0
0.800336,3.60965,0
0.801908,3.54391,0
0.80348,3.49255,0
0.805053,3.43962,0
0.806625,3.38528,0
