# 20240725_151035
alpha,thetaRe,thetaIm
0.65725,1.39522,0
0.658822,1.39969,0
0.660395,1.40418,0
0.661967,1.40867,0
0.66354,1.41317,0
0.665112,1.41768,0
0.666684,1.42221,0
0.668257,1.42674,0
0.669829,1.43127,0
0.671401,1.43582,0
0.672974,1.44037,0
0.674546,1.44493,0
0.676119,1.4495,0
0.677691,1.45408,0
0.679263,1.45866,0
0.680836,1.46325,0
0.682408,1.46785,0
0.68398,1.47245,0
0.685553,1.47706,0
0.687125,1.48168,0
0.688697,1.48631,0
0.69027,1.49096,0
0.691842,1.49561,0
0.693415,1.50028,0
0.694987,1.50496,0
0.696559,1.50965,0
0.698132,1.51435,0
0.699704,1.51907,0
0.701276,1.52379,0
0.702849,1.52852,0
0.704421,1.53326,0
0.705994,1.53801,0
0.707566,1.54277,0
0.709138,1.54753,0
0.710711,1.55231,0
0.712283,1.55709,0
0.713855,1.56188,0
0.715428,1.56667,0
0.717,1.57147,0
0.718572,1.57628,0
0.720145,1.58109,0
0.721717,1.58591,0
0.72329,1.59073,0
0.724862,1.59556,0
0.726434,1.60039,0
0.728007,1.60523,0
0.729579,1.61007,0
0.731151,1.61491,0
0.732724,1.61975,0
0.734296,1.6246,0
0.735869,1.62945,0
0.737441,1.6343,0
0.739013,1.63915,0
0.740586,1.64401,0
0.742158,1.64887,0
0.74373,1.65375,0
0.745303,1.65864,0
0.746875,1.66353,0
0.748447,1.66843,0
0.75002,1.67334,0
0.751592,1.67826,0
0.753165,1.68318,0
0.754737,1.68812,0
0.756309,1.69305,0
0.757882,1.698,0
0.759454,1.70294,0
0.761026,1.7079,0
0.762599,1.71285,0
0.764171,1.71781,0
0.765744,1.72278,0
0.767316,1.72774,0
0.768888,1.73271,0
0.770461,1.73768,0
0.772033,1.74266,0
0.773605,1.74763,0
0.775178,1.7526,0
0.77675,1.75757,0
0.778323,1.76255,0
0.779895,1.76752,0
0.781467,1.77249,0
0.78304,1.77746,0
0.784612,1.78242,0
0.786184,1.78739,0
0.787757,1.79235,0
0.789329,1.7973,0
0.790901,1.80225,0
0.792474,1.8072,0
0.794046,1.81214,0
0.795619,1.81708,0
0.797191,1.82203,0
0.798763,1.82698,0
0.800336,1.83195,0
0.801908,1.83692,0
0.80348,1.84189,0
0.805053,1.84688,0
0.806625,1.85187,0
0.808198,1.85687,0
0.80977,1.86187,0
0.811342,1.86688,0
0.812915,1.87189,0
0.814487,1.8769,0
0.816059,1.88192,0
0.817632,1.88694,0
0.819204,1.89196,0
0.820776,1.89699,0
0.822349,1.90201,0
0.823921,1.90704,0
0.825494,1.91207,0
0.827066,1.91709,0
0.828638,1.92211,0
0.830211,1.92714,0
0.831783,1.93216,0
0.833355,1.93717,0
0.834928,1.94219,0
0.8365,1.9472,0
0.838073,1.95221,0
0.839645,1.95721,0
0.841217,1.9622,0
0.84279,1.96719,0
0.844362,1.97218,0
0.845934,1.97716,0
0.847507,1.98213,0
0.849079,1.98709,0
0.850651,1.99204,0
0.852224,1.99698,0
0.853796,2.00192,0
0.855369,2.00684,0
0.856941,2.01176,0
0.858513,2.01666,0
0.860086,2.02155,0
0.861658,2.02643,0
0.86323,2.0313,0
0.864803,2.03615,0
0.866375,2.04099,0
0.867948,2.04582,0
0.86952,2.05063,0
0.871092,2.05542,0
0.872665,2.0602,0
0.874237,2.06497,0
0.875809,2.06971,0
0.877382,2.07444,0
0.878954,2.07915,0
0.880526,2.08385,0
0.882099,2.08852,0
0.883671,2.09317,0
0.885244,2.09781,0
0.886816,2.10245,0
0.888388,2.10709,0
0.889961,2.11174,0
0.891533,2.11638,0
0.893105,2.12103,0
0.894678,2.12568,0
0.89625,2.13033,0
0.897823,2.13498,0
0.899395,2.13963,0
0.900967,2.14428,0
0.90254,2.14893,0
0.904112,2.15358,0
0.905684,2.15823,0
0.907257,2.16288,0
0.908829,2.16753,0
0.910401,2.17217,0
0.911974,2.17682,0
0.913546,2.18146,0
0.915119,2.1861,0
0.916691,2.19074,0
0.918263,2.19537,0
0.919836,2.20001,0
0.921408,2.20463,0
0.92298,2.20926,0
0.924553,2.21388,0
0.926125,2.2185,0
0.927698,2.22311,0
0.92927,2.22771,0
0.930842,2.23232,0
0.932415,2.23691,0
0.933987,2.2415,0
0.935559,2.24609,0
0.937132,2.25067,0
0.938704,2.25524,0
0.940276,2.25981,0
0.941849,2.26437,0
0.943421,2.26892,0
0.944994,2.27346,0
0.946566,2.278,0
0.948138,2.28253,0
