# 20240823_144502
alpha,urRe,urIm
0.75002,0.896107,0
0.751592,0.897812,0
0.753165,0.899514,0
0.754737,0.901213,0
0.756309,0.902908,0
0.757882,0.904601,0
0.759454,0.90629,0
0.761026,0.907976,0
0.762599,0.909658,0
0.764171,0.911337,0
0.765744,0.913013,0
0.767316,0.914685,0
0.768888,0.916354,0
0.770461,0.918019,0
0.772033,0.91968,0
0.773605,0.921338,0
0.775178,0.922992,0
0.77675,0.924642,0
0.778323,0.926288,0
0.779895,0.92793,0
0.781467,0.929568,0
0.78304,0.931202,0
0.784612,0.932833,0
0.786184,0.934458,0
0.787757,0.93608,0
0.789329,0.937697,0
0.790901,0.93931,0
0.792474,0.940918,0
0.794046,0.942522,0
0.795619,0.944121,0
0.797191,0.945716,0
0.798763,0.947306,0
0.800336,0.948891,0
0.801908,0.950471,0
0.80348,0.952046,0
0.805053,0.953616,0
0.806625,0.955181,0
0.808198,0.95674,0
0.80977,0.958295,0
0.811342,0.959844,0
0.812915,0.961387,0
0.814487,0.962925,0
0.816059,0.964457,0
0.817632,0.965984,0
0.819204,0.967505,0
0.820776,0.969019,0
0.822349,0.970528,0
0.823921,0.972031,0
0.825494,0.973528,0
0.827066,0.975018,0
0.828638,0.976502,0
0.830211,0.97798,0
0.831783,0.979451,0
0.833355,0.980915,0
0.834928,0.982373,0
0.8365,0.983824,0
0.838073,0.985267,0
0.839645,0.986704,0
0.841217,0.988134,0
0.84279,0.989557,0
0.844362,0.990972,0
0.845934,0.99238,0
0.847507,0.99378,0
0.849079,0.995173,0
0.850651,0.996558,0
0.852224,0.997935,0
0.853796,0.999304,0
0.855369,1.00067,0
0.856941,1.00202,0
0.858513,1.00336,0
0.860086,1.0047,0
0.861658,1.00603,0
0.86323,1.00735,0
0.864803,1.00866,0
0.866375,1.00996,0
0.867948,1.01125,0
0.86952,1.01254,0
0.871092,1.01381,0
0.872665,1.01508,0
0.874237,1.01634,0
0.875809,1.01759,0
0.877382,1.01882,0
0.878954,1.02005,0
0.880526,1.02127,0
0.882099,1.02248,0
0.883671,1.02368,0
0.885244,1.02487,0
0.886816,1.02605,0
0.888388,1.02722,0
0.889961,1.02837,0
0.891533,1.02952,0
0.893105,1.03066,0
0.894678,1.03179,0
0.89625,1.0329,0
0.897823,1.03401,0
0.899395,1.0351,0
0.900967,1.03619,0
0.90254,1.03726,0
0.904112,1.03832,0
0.905684,1.03937,0
0.907257,1.04041,0
0.908829,1.04144,0
0.910401,1.04245,0
0.911974,1.04346,0
0.913546,1.04445,0
0.915119,1.04543,0
0.916691,1.0464,0
0.918263,1.04735,0
0.919836,1.04829,0
0.921408,1.04923,0
0.92298,1.05015,0
0.924553,1.05105,0
0.926125,1.05195,0
0.927698,1.05283,0
0.92927,1.0537,0
0.930842,1.05455,0
0.932415,1.05539,0
0.933987,1.05622,0
0.935559,1.05704,0
0.937132,1.05785,0
0.938704,1.05864,0
0.940276,1.05941,0
0.941849,1.06018,0
0.943421,1.06093,0
0.944994,1.06166,0
0.946566,1.06239,0
0.948138,1.06309,0
0.949711,1.06379,0
0.951283,1.06447,0
0.952855,1.06514,0
0.954428,1.06579,0
0.956,1.06643,0
0.957573,1.06706,0
0.959145,1.06767,0
0.960717,1.06826,0
0.96229,1.06884,0
0.963862,1.06941,0
0.965434,1.06996,0
0.967007,1.0705,0
0.968579,1.07102,0
0.970151,1.07153,0
0.971724,1.07203,0
0.973296,1.07251,0
0.974869,1.07297,0
0.976441,1.07342,0
0.978013,1.07385,0
0.979586,1.07427,0
0.981158,1.07467,0
0.98273,1.07506,0
0.984303,1.07543,0
0.985875,1.07579,0
0.987448,1.07613,0
0.98902,1.07646,0
0.990592,1.07677,0
0.992165,1.07707,0
0.993737,1.07734,0
0.995309,1.07761,0
0.996882,1.07786,0
0.998454,1.07809,0
1.00003,1.0783,0
1.0016,1.07851,0
1.00317,1.07869,0
1.00474,1.07886,0
1.00632,1.07901,0
1.00789,1.07915,0
1.00946,1.07927,0
1.01103,1.07937,0
1.01261,1.07946,0
1.01418,1.07953,0
1.01575,1.07959,0
1.01732,1.07963,0
1.01889,1.07965,0
1.02047,1.07965,0
1.02204,1.07964,0
1.02361,1.07962,0
1.02518,1.07958,0
1.02676,1.07952,0
1.02833,1.07944,0
1.0299,1.07935,0
1.03147,1.07924,0
1.03305,1.07911,0
1.03462,1.07897,0
1.03619,1.07881,0
1.03776,1.07864,0
1.03934,1.07845,0
1.04091,1.07824,0
1.04248,1.07801,0
1.04405,1.07777,0
1.04563,1.07751,0
1.0472,1.07724,0
1.04877,1.07695,0
1.05034,1.07664,0
1.05191,1.07631,0
1.05349,1.07597,0
1.05506,1.07561,0
1.05663,1.07523,0
1.0582,1.07484,0
1.05978,1.07443,0
1.06135,1.07401,0
1.06292,1.07356,0
1.06449,1.0731,0
1.06607,1.07263,0
1.06764,1.07213,0
1.06921,1.07162,0
1.07078,1.07109,0
1.07236,1.07055,0
1.07393,1.06999,0
1.0755,1.06941,0
1.07707,1.06882,0
1.07864,1.0682,0
1.08022,1.06757,0
1.08179,1.06693,0
1.08336,1.06627,0
1.08493,1.06559,0
1.08651,1.06489,0
1.08808,1.06418,0
1.08965,1.06345,0
1.09122,1.0627,0
1.0928,1.06194,0
1.09437,1.06115,0
1.09594,1.06036,0
1.09751,1.05954,0
1.09909,1.05871,0
1.10066,1.05786,0
1.10223,1.05699,0
1.1038,1.05611,0
1.10538,1.05521,0
1.10695,1.0543,0
1.10852,1.05336,0
1.11009,1.05241,0
1.11166,1.05144,0
1.11324,1.05046,0
1.11481,1.04946,0
1.11638,1.04844,0
1.11795,1.0474,0
1.11953,1.04635,0
1.1211,1.04528,0
1.12267,1.04419,0
1.12424,1.04308,0
1.12582,1.04196,0
1.12739,1.04082,0
1.12896,1.03967,0
1.13053,1.03849,0
1.13211,1.0373,0
1.13368,1.0361,0
1.13525,1.03487,0
1.13682,1.03363,0
1.13839,1.03237,0
1.13997,1.03109,0
1.14154,1.0298,0
1.14311,1.02848,0
1.14468,1.02715,0
1.14626,1.02581,0
1.14783,1.02444,0
1.1494,1.02306,0
1.15097,1.02166,0
1.15255,1.02024,0
1.15412,1.01881,0
1.15569,1.01736,0
1.15726,1.01589,0
1.15884,1.0144,0
1.16041,1.01289,0
1.16198,1.01137,0
1.16355,1.00983,0
1.16513,1.00827,0
1.1667,1.00669,0
1.16827,1.0051,0
1.16984,1.00348,0
1.17141,1.00185,0
1.17299,1.0002,0
1.17456,0.998537,0
1.17613,0.996852,0
1.1777,0.995149,0
1.17928,0.993427,0
1.18085,0.991688,0
1.18242,0.98993,0
1.18399,0.988154,0
1.18557,0.986359,0
1.18714,0.984547,0
1.18871,0.982716,0
1.19028,0.980866,0
1.19186,0.978998,0
1.19343,0.977112,0
1.195,0.975207,0
1.19657,0.973284,0
1.19814,0.971342,0
1.19972,0.969382,0
1.20129,0.967403,0
1.20286,0.965406,0
1.20443,0.963389,0
1.20601,0.961355,0
1.20758,0.959301,0
1.20915,0.957229,0
1.21072,0.955138,0
1.2123,0.953028,0
1.21387,0.9509,0
1.21544,0.948752,0
1.21701,0.946586,0
1.21859,0.944401,0
1.22016,0.942197,0
1.22173,0.939974,0
1.2233,0.937733,0
1.22488,0.935472,0
1.22645,0.933192,0
1.22802,0.930893,0
1.22959,0.928576,0
1.23116,0.926239,0
1.23274,0.923883,0
1.23431,0.921508,0
1.23588,0.919113,0
1.23745,0.9167,0
1.23903,0.914267,0
1.2406,0.911815,0
1.24217,0.909344,0
1.24374,0.906853,0
1.24532,0.904343,0
1.24689,0.901813,0
1.24846,0.899264,0
1.25003,0.896696,0
1.25161,0.894108,0
1.25318,0.8915,0
1.25475,0.888872,0
1.25632,0.886225,0
1.25789,0.883558,0
1.25947,0.880871,0
1.26104,0.878164,0
1.26261,0.875437,0
1.26418,0.87269,0
1.26576,0.869922,0
1.26733,0.867135,0
1.2689,0.864327,0
1.27047,0.861498,0
1.27205,0.858649,0
1.27362,0.855779,0
1.27519,0.852888,0
1.27676,0.849977,0
1.27834,0.847044,0
1.27991,0.844091,0
1.28148,0.841116,0
1.28305,0.83812,0
1.28463,0.835102,0
1.2862,0.832062,0
1.28777,0.829001,0
1.28934,0.825918,0
1.29091,0.822813,0
1.29249,0.819685,0
1.29406,0.816536,0
1.29563,0.813364,0
1.2972,0.810169,0
1.29878,0.806951,0
1.30035,0.80371,0
1.30192,0.800446,0
1.30349,0.797158,0
1.30507,0.793848,0
1.30664,0.790513,0
1.30821,0.787155,0
1.30978,0.783772,0
1.31136,0.780366,0
1.31293,0.776935,0
1.3145,0.773479,0
1.31607,0.769999,0
1.31764,0.766494,0
1.31922,0.762964,0
1.32079,0.759408,0
1.32236,0.755827,0
1.32393,0.752221,0
1.32551,0.748589,0
1.32708,0.744931,0
1.32865,0.741246,0
1.33022,0.737536,0
1.3318,0.733799,0
1.33337,0.730036,0
1.33494,0.726245,0
1.33651,0.722429,0
1.33809,0.718585,0
1.33966,0.714714,0
1.34123,0.710816,0
1.3428,0.70689,0
1.34438,0.702937,0
1.34595,0.698957,0
1.34752,0.694949,0
1.34909,0.690913,0
1.35066,0.686849,0
1.35224,0.682758,0
1.35381,0.678638,0
1.35538,0.674491,0
1.35695,0.670315,0
1.35853,0.666112,0
1.3601,0.66188,0
1.36167,0.65762,0
1.36324,0.653332,0
1.36482,0.649016,0
1.36639,0.644671,0
1.36796,0.640299,0
1.36953,0.635898,0
1.37111,0.63147,0
1.37268,0.627013,0
1.37425,0.622528,0
1.37582,0.618015,0
1.37739,0.613475,0
1.37897,0.608907,0
1.38054,0.604311,0
1.38211,0.599688,0
1.38368,0.595037,0
1.38526,0.59036,0
1.38683,0.585655,0
1.3884,0.580923,0
1.38997,0.576165,0
1.39155,0.57138,0
1.39312,0.566568,0
1.39469,0.561731,0
1.39626,0.556868,0
1.39784,0.551979,0
1.39941,0.547066,0
1.40098,0.542126,0
1.40255,0.537163,0
1.40413,0.532175,0
1.4057,0.527163,0
1.40727,0.522127,0
1.40884,0.517068,0
1.41041,0.511986,0
1.41199,0.506882,0
1.41356,0.501755,0
1.41513,0.496608,0
1.4167,0.491438,0
1.41828,0.486249,0
1.41985,0.481039,0
1.42142,0.475811,0
1.42299,0.470563,0
1.42457,0.465297,0
1.42614,0.460014,0
1.42771,0.454714,0
1.42928,0.449397,0
1.43086,0.444066,0
1.43243,0.438719,0
1.434,0.433359,0
1.43557,0.427986,0
1.43714,0.422601,0
1.43872,0.417204,0
1.44029,0.411797,0
1.44186,0.406381,0
1.44343,0.400956,0
1.44501,0.395523,0
1.44658,0.390085,0
1.44815,0.38464,0
1.44972,0.379192,0
1.4513,0.37374,0
1.45287,0.368286,0
1.45444,0.362831,0
1.45601,0.357376,0
1.45759,0.351923,0
1.45916,0.346472,0
1.46073,0.341024,0
1.4623,0.335582,0
1.46388,0.330144,0
1.46545,0.324715,0
1.46702,0.319293,0
1.46859,0.313881,0
1.47016,0.308478,0
1.47174,0.303088,0
1.47331,0.297711,0
1.47488,0.292347,0
1.47645,0.286997,0
1.47803,0.281664,0
1.4796,0.276346,0
1.48117,0.271046,0
1.48274,0.265764,0
1.48432,0.260502,0
1.48589,0.255259,0
1.48746,0.250036,0
1.48903,0.244835,0
1.49061,0.239655,0
1.49218,0.234497,0
1.49375,0.229361,0
1.49532,0.224248,0
1.49689,0.219158,0
1.49847,0.214091,0
1.50004,0.209048,0
1.50161,0.204028,0
1.50318,0.199031,0
1.50476,0.194057,0
1.50633,0.189107,0
1.5079,0.184179,0
1.50947,0.179274,0
1.51105,0.174391,0
1.51262,0.16953,0
1.51419,0.164691,0
1.51576,0.159872,0
1.51734,0.155075,0
1.51891,0.150297,0
1.52048,0.145538,0
1.52205,0.140797,0
1.52363,0.136073,0
1.5252,0.131366,0
1.52677,0.126674,0
1.52834,0.121996,0
1.52991,0.117332,0
1.53149,0.112677,0
1.53306,0.108033,0
1.53463,0.103396,0
1.5362,0.0987644,0
1.53778,0.0941343,0
1.53935,0.0895056,0
1.54092,0.0848719,0
1.54249,0.0802333,0
1.54407,0.0755822,0
1.54564,0.0709187,0
1.54721,0.0662338,0
1.54878,0.0615271,0
1.55036,0.0567895,0
1.55193,0.0520203,0
1.5535,0.0472108,0
1.55507,0.0423598,0
1.55665,0.0374612,0
1.55822,0.0325134,0
1.55979,0.0275164,0
1.56136,0.022468,0
1.56293,0.0173794,0
1.56451,0.0122479,0
1.56608,0.00710512,0
1.56765,0.00194772,0
1.56922,-0.00314844,0
1.5708,-0.0081657,0
