# 20240725_151024
alpha,piplusRe,piplusIm
0.828638,-0.344136,0.93892
0.830211,-0.348847,0.93718
0.831783,-0.353547,0.935417
0.833355,-0.358236,0.933631
0.834928,-0.362913,0.931823
0.8365,-0.367578,0.929993
0.838073,-0.372229,0.928141
0.839645,-0.376867,0.926268
0.841217,-0.38149,0.924373
0.84279,-0.386098,0.922458
0.844362,-0.390691,0.920522
0.845934,-0.395268,0.918566
0.847507,-0.399828,0.91659
0.849079,-0.404371,0.914595
0.850651,-0.408896,0.912581
0.852224,-0.413403,0.910548
0.853796,-0.417892,0.908497
0.855369,-0.422361,0.906428
0.856941,-0.42681,0.904341
0.858513,-0.431239,0.902238
0.860086,-0.435647,0.900117
0.861658,-0.440034,0.897981
0.86323,-0.444399,0.895829
0.864803,-0.448742,0.893661
0.866375,-0.453062,0.891479
0.867948,-0.457358,0.889283
0.86952,-0.461631,0.887072
0.871092,-0.465879,0.884848
0.872665,-0.470103,0.882611
0.874237,-0.474302,0.880362
0.875809,-0.478475,0.878101
0.877382,-0.482622,0.875829
0.878954,-0.486743,0.873545
0.880526,-0.490836,0.871252
0.882099,-0.494903,0.868948
0.883671,-0.498942,0.866636
0.885244,-0.502956,0.864312
0.886816,-0.506961,0.861969
0.888388,-0.510956,0.859607
0.889961,-0.514943,0.857225
0.891533,-0.51892,0.854823
0.893105,-0.522887,0.852402
0.894678,-0.526844,0.849962
0.89625,-0.53079,0.847503
0.897823,-0.534725,0.845026
0.899395,-0.538649,0.84253
0.900967,-0.542562,0.840016
0.90254,-0.546463,0.837483
0.904112,-0.550352,0.834933
0.905684,-0.554228,0.832365
0.907257,-0.558092,0.829779
0.908829,-0.561942,0.827176
0.910401,-0.565779,0.824557
0.911974,-0.569603,0.82192
0.913546,-0.573412,0.819267
0.915119,-0.577208,0.816597
0.916691,-0.580989,0.813912
0.918263,-0.584755,0.81121
0.919836,-0.588505,0.808493
0.921408,-0.592241,0.805761
0.92298,-0.595961,0.803013
0.924553,-0.599665,0.800251
0.926125,-0.603353,0.797474
0.927698,-0.607024,0.794683
0.92927,-0.610679,0.791878
0.930842,-0.614317,0.789059
0.932415,-0.617938,0.786227
0.933987,-0.621541,0.783382
0.935559,-0.625126,0.780524
0.937132,-0.628694,0.777653
0.938704,-0.632243,0.77477
0.940276,-0.635774,0.771875
0.941849,-0.639287,0.768968
0.943421,-0.642781,0.76605
0.944994,-0.646255,0.763121
