# 20241120_131910
q,primespecRe,primespecIm
1.64164,0.137462,0
1.64665,0.139331,0
1.65165,0.150628,0
1.65666,0.161161,0
1.66166,0.170691,0
1.66667,0.166612,0
1.67167,0.148782,0
1.67668,0.124669,0
1.68168,0.0995364,0
1.68669,0.0956275,0
1.69169,0.0947189,0
1.6967,0.102154,0
1.7017,0.129241,0
1.70671,0.148311,0
1.71171,0.162225,0
1.71672,0.159936,0
1.72172,0.146968,0
1.72673,0.130873,0
1.73173,0.114312,0
1.73674,0.114201,0
1.74174,0.120756,0
1.74675,0.134038,0
1.75175,0.156405,0
1.75676,0.162974,0
1.76176,0.165389,0
1.76677,0.157979,0
1.77177,0.132486,0
1.77678,0.107603,0
1.78178,0.0861676,0
1.78679,0.0842601,0
1.79179,0.0850676,0
1.7968,0.0905917,0
1.8018,0.104663,0
1.80681,0.105931,0
1.81181,0.102837,0
1.81682,0.0931375,0
1.82182,0.0747264,0
1.82683,0.0655374,0
1.83183,0.0601559,0
1.83684,0.0638976,0
1.84184,0.0815676,0
1.84685,0.0994062,0
1.85185,0.11696,0
1.85686,0.118317,0
1.86186,0.114788,0
1.86687,0.105111,0
1.87187,0.0877447,0
1.87688,0.0807524,0
1.88188,0.0772344,0
1.88689,0.0806196,0
1.89189,0.0946873,0
1.8969,0.103928,0
1.9019,0.110282,0
1.90691,0.107275,0
1.91191,0.092647,0
1.91692,0.0745593,0
1.92192,0.0553994,0
1.92693,0.0488721,0
1.93193,0.0458749,0
1.93694,0.0487662,0
1.94194,0.0612271,0
1.94695,0.0680739,0
1.95195,0.0720029,0
1.95696,0.0694278,0
1.96196,0.0589225,0
1.96697,0.0507445,0
1.97197,0.0443291,0
1.97698,0.045937,0
1.98198,0.0567173,0
1.98699,0.0702398,0
1.99199,0.0868989,0
1.997,0.0909615,0
2.002,0.0920033,0
2.00701,0.0877837,0
2.01201,0.0724977,0
2.01702,0.0608476,0
2.02202,0.0518691,0
2.02703,0.0520925,0
2.03203,0.0577352,0
2.03704,0.064168,0
2.04204,0.0713184,0
2.04705,0.0707819,0
2.05205,0.0635962,0
2.05706,0.0523479,0
2.06206,0.0374541,0
2.06707,0.0300663,0
2.07207,0.0258084,0
2.07708,0.0273798,0
2.08208,0.0370528,0
2.08709,0.0454542,0
2.09209,0.05255,0
