# 20240927_202652
alpha,DtauRe,DtauIm
1.54345,-80.3897,0
1.5466,-80.5604,0
1.54975,-80.7524,0
1.5529,-80.9784,0
1.55605,-81.2521,0
1.5592,-81.5844,0
1.56235,-81.9742,0
1.5655,-82.3941,0
1.56865,-82.7665,0
1.5718,-82.9265,0
