alpha,pi0Re,pi0Im,Dpi0Re,Dpi0Im
0.294033,0.11443,0,-0.115446,0
0.295605,0.114512,0,-0.115263,0
0.297178,0.114593,0,-0.115094,0
0.29875,0.114675,0,-0.114934,0
0.300322,0.114757,0,-0.114779,0
0.301895,0.114839,0,-0.114623,0
0.303467,0.114921,0,-0.114462,0
0.30504,0.115003,0,-0.11429,0
0.306612,0.115086,0,-0.114105,0
0.308184,0.115168,0,-0.1139,0
0.309757,0.115251,0,-0.113674,0
0.311329,0.115333,0,-0.113462,0
0.312901,0.115416,0,-0.11327,0
0.314474,0.115498,0,-0.113093,0
0.316046,0.115581,0,-0.112924,0
0.317618,0.115663,0,-0.112759,0
0.319191,0.115746,0,-0.112591,0
0.320763,0.115828,0,-0.112414,0
0.322336,0.115911,0,-0.112221,0
0.323908,0.115994,0,-0.112003,0
0.32548,0.116078,0,-0.111753,0
0.327053,0.116162,0,-0.111516,0
0.328625,0.116248,0,-0.111243,0
0.330197,0.116334,0,-0.110983,0
0.33177,0.11642,0,-0.110734,0
0.333342,0.116507,0,-0.110492,0
0.334915,0.116595,0,-0.110256,0
0.336487,0.116683,0,-0.110022,0
0.338059,0.116772,0,-0.109787,0
0.339632,0.116861,0,-0.109548,0
0.341204,0.116951,0,-0.109303,0
0.342776,0.117041,0,-0.109049,0
0.344349,0.117132,0,-0.108787,0
0.345921,0.117223,0,-0.108509,0
0.347493,0.117314,0,-0.108215,0
0.349066,0.117406,0,-0.10792,0
0.350638,0.117498,0,-0.107623,0
0.352211,0.117591,0,-0.107323,0
0.353783,0.117683,0,-0.107017,0
0.355355,0.117776,0,-0.106704,0
0.356928,0.11787,0,-0.106382,0
0.3585,0.117963,0,-0.10605,0
0.360072,0.118057,0,-0.105709,0
0.361645,0.118151,0,-0.105367,0
0.363217,0.118245,0,-0.105025,0
0.36479,0.118339,0,-0.104685,0
0.366362,0.118434,0,-0.104345,0
0.367934,0.118528,0,-0.104007,0
0.369507,0.118623,0,-0.103671,0
0.371079,0.118717,0,-0.103336,0
0.372651,0.118812,0,-0.103003,0
0.374224,0.118906,0,-0.102671,0
0.375796,0.119001,0,-0.102342,0
0.377368,0.119095,0,-0.102008,0
0.378941,0.11919,0,-0.101662,0
0.380513,0.119284,0,-0.101303,0
0.382086,0.119378,0,-0.100932,0
0.383658,0.119472,0,-0.100551,0
0.38523,0.119566,0,-0.100158,0
0.386803,0.11966,0,-0.0997547,0
0.388375,0.119754,0,-0.0993394,0
0.389947,0.119847,0,-0.0989121,0
0.39152,0.11994,0,-0.098472,0
0.393092,0.120033,0,-0.0980205,0
0.394665,0.120126,0,-0.0975903,0
0.396237,0.120219,0,-0.0971773,0
0.397809,0.120313,0,-0.0967648,0
0.399382,0.120407,0,-0.0963364,0
0.400954,0.120501,0,-0.0958771,0
0.402526,0.120596,0,-0.0953848,0
0.404099,0.12069,0,-0.0949104,0
0.405671,0.120785,0,-0.094451,0
0.407243,0.120881,0,-0.0939944,0
0.408816,0.120976,0,-0.0935276,0
0.410388,0.121071,0,-0.0930464,0
0.411961,0.121167,0,-0.0925243,0
0.413533,0.121262,0,-0.0920134,0
0.415105,0.121358,0,-0.0915106,0
0.416678,0.121453,0,-0.0909961,0
0.41825,0.121549,0,-0.0904507,0
0.419822,0.121644,0,-0.0898909,0
0.421395,0.121739,0,-0.0893488,0
0.422967,0.121834,0,-0.0888151,0
0.42454,0.121929,0,-0.0882805,0
0.426112,0.122024,0,-0.0877357,0
0.427684,0.122118,0,-0.0871774,0
0.429257,0.122212,0,-0.0866127,0
0.430829,0.122306,0,-0.0860417,0
0.432401,0.122399,0,-0.0854639,0
0.433974,0.122492,0,-0.0848789,0
0.435546,0.122585,0,-0.084286,0
0.437118,0.122677,0,-0.0836847,0
0.438691,0.122769,0,-0.0830742,0
0.440263,0.12286,0,-0.0824536,0
0.441836,0.122951,0,-0.081822,0
0.443408,0.123041,0,-0.0811784,0
0.44498,0.12313,0,-0.0805403,0
0.446553,0.123219,0,-0.0799179,0
0.448125,0.123308,0,-0.0792908,0
0.449697,0.123397,0,-0.0786427,0
0.45127,0.123487,0,-0.0779641,0
0.452842,0.123576,0,-0.0772829,0
0.454415,0.123665,0,-0.0766021,0
0.455987,0.123753,0,-0.0759187,0
0.457559,0.123842,0,-0.0752294,0
