# 20240823_150244
alpha,utauRe,utauIm
0.927698,1.4582,0
0.92927,1.45883,0
0.930842,1.45945,0
0.932415,1.46007,0
0.933987,1.46067,0
0.935559,1.46127,0
0.937132,1.46185,0
0.938704,1.46243,0
0.940276,1.463,0
0.941849,1.46355,0
0.943421,1.4641,0
0.944994,1.46464,0
0.946566,1.46517,0
0.948138,1.46568,0
0.949711,1.46619,0
0.951283,1.46669,0
0.952855,1.46718,0
0.954428,1.46766,0
0.956,1.46812,0
0.957573,1.46858,0
0.959145,1.46903,0
0.960717,1.46947,0
0.96229,1.46989,0
0.963862,1.47031,0
0.965434,1.47071,0
0.967007,1.47111,0
0.968579,1.47149,0
0.970151,1.47186,0
0.971724,1.47223,0
0.973296,1.47258,0
0.974869,1.47292,0
0.976441,1.47325,0
0.978013,1.47356,0
0.979586,1.47387,0
0.981158,1.47417,0
0.98273,1.47445,0
0.984303,1.47473,0
0.985875,1.47499,0
0.987448,1.47524,0
0.98902,1.47548,0
0.990592,1.47571,0
0.992165,1.47592,0
0.993737,1.47613,0
0.995309,1.47632,0
0.996882,1.4765,0
0.998454,1.47668,0
1.00003,1.47683,0
1.0016,1.47698,0
1.00317,1.47712,0
1.00474,1.47724,0
1.00632,1.47735,0
1.00789,1.47745,0
1.00946,1.47754,0
1.01103,1.47762,0
1.01261,1.47768,0
1.01418,1.47774,0
1.01575,1.47778,0
1.01732,1.47781,0
1.01889,1.47782,0
1.02047,1.47783,0
1.02204,1.47782,0
1.02361,1.4778,0
1.02518,1.47777,0
1.02676,1.47773,0
1.02833,1.47767,0
1.0299,1.4776,0
1.03147,1.47752,0
1.03305,1.47743,0
1.03462,1.47733,0
1.03619,1.47721,0
1.03776,1.47708,0
1.03934,1.47694,0
1.04091,1.47679,0
1.04248,1.47662,0
1.04405,1.47644,0
1.04563,1.47625,0
1.0472,1.47605,0
1.04877,1.47584,0
1.05034,1.47561,0
1.05191,1.47537,0
1.05349,1.47512,0
1.05506,1.47486,0
1.05663,1.47458,0
1.0582,1.47429,0
1.05978,1.47399,0
1.06135,1.47368,0
1.06292,1.47335,0
1.06449,1.47302,0
1.06607,1.47267,0
1.06764,1.4723,0
1.06921,1.47193,0
