# 20241009_163646
q,primespecRe,primespecIm
0.260892,3.49531,0
0.261884,3.41852,0
0.262875,3.34638,0
0.263867,3.27999,0
0.264859,3.22035,0
0.265851,3.16841,0
0.266843,3.12508,0
0.267835,3.09129,0
0.268827,3.06794,0
0.269819,3.05605,0
0.270811,3.05888,0
0.271803,3.08642,0
0.272795,3.13645,0
0.273787,3.20529,0
0.274779,3.28926,0
0.275771,3.38444,0
0.276763,3.4865,0
0.277755,3.59057,0
0.278747,3.69116,0
0.279739,3.78221,0
0.280731,3.86041,0
0.281723,3.94397,0
0.282715,4.03438,0
0.283707,4.12836,0
0.284699,4.22234,0
0.285691,4.31241,0
0.286683,4.39433,0
0.287675,4.46363,0
0.288667,4.51566,0
0.289659,4.54578,0
0.290651,4.55125,0
0.291643,4.54814,0
0.292635,4.5417,0
0.293627,4.53222,0
0.294619,4.51999,0
0.295611,4.50532,0
0.296603,4.48852,0
0.297595,4.46988,0
0.298587,4.4497,0
0.299579,4.42828,0
0.300571,4.40489,0
0.301563,4.36225,0
0.302555,4.29922,0
0.303547,4.22251,0
0.304539,4.13855,0
0.305531,4.05342,0
0.306523,3.97271,0
0.307515,3.90158,0
0.308507,3.84485,0
0.309499,3.80716,0
0.310491,3.79272,0
0.311483,3.7874,0
0.312475,3.78258,0
0.313467,3.77828,0
0.314459,3.7745,0
0.315451,3.77127,0
0.316443,3.7686,0
0.317435,3.76651,0
0.318427,3.76501,0
0.319419,3.76412,0
0.320411,3.76401,0
0.321402,3.78478,0
0.322394,3.8373,0
0.323386,3.91734,0
0.324378,4.02086,0
0.32537,4.14375,0
0.326362,4.28153,0
0.327354,4.42915,0
0.328346,4.58079,0
0.329338,4.7298,0
0.33033,4.86868,0
0.331322,5.00744,0
0.332314,5.1599,0
0.333306,5.32351,0
0.334298,5.49538,0
0.33529,5.67219,0
0.336282,5.85017,0
0.337274,6.02507,0
0.338266,6.19216,0
0.339258,6.34629,0
0.34025,6.48196,0
0.341242,6.60734,0
0.342234,6.73767,0
0.343226,6.86953,0
0.344218,6.99908,0
0.34521,7.1222,0
0.346202,7.23451,0
0.347194,7.33141,0
0.348186,7.40819,0
0.349178,7.46011,0
0.35017,7.48255,0
0.351162,7.48194,0
0.352154,7.47747,0
0.353146,7.46995,0
0.354138,7.45966,0
0.35513,7.44691,0
0.356122,7.43199,0
0.357114,7.41522,0
0.358106,7.39687,0
0.359098,7.37726,0
0.36009,7.35667,0
0.361082,7.32915,0
0.362074,7.28128,0
0.363066,7.21789,0
0.364058,7.14475,0
0.36505,7.06741,0
0.366042,6.99124,0
0.367034,6.92139,0
0.368026,6.8628,0
0.369018,6.82027,0
0.37001,6.79858,0
0.371002,6.79759,0
0.371994,6.80192,0
0.372986,6.80982,0
0.373978,6.82107,0
0.37497,6.83542,0
0.375962,6.85268,0
0.376954,6.87261,0
0.377946,6.895,0
0.378937,6.91962,0
0.379929,6.94625,0
0.380921,6.97922,0
0.381913,7.0395,0
0.382905,7.12615,0
0.383897,7.23499,0
0.384889,7.3618,0
0.385881,7.50217,0
0.386873,7.65137,0
0.387865,7.80429,0
0.388857,7.95542,0
0.389849,8.09881,0
0.390841,8.23166,0
0.391833,8.37406,0
0.392825,8.52718,0
0.393817,8.68695,0
0.394809,8.84903,0
0.395801,9.00872,0
0.396793,9.161,0
0.397785,9.30052,0
0.398777,9.4217,0
0.399769,9.51881,0
0.400761,9.58825,0
0.401753,9.65008,0
0.402745,9.70969,0
0.403737,9.766,0
0.404729,9.81795,0
0.405721,9.86443,0
0.406713,9.90434,0
0.407705,9.93657,0
0.408697,9.96001,0
0.409689,9.97356,0
0.410681,9.9755,0
0.411673,9.95408,0
0.412665,9.90839,0
0.413657,9.8427,0
0.414649,9.76129,0
0.415641,9.6684,0
0.416633,9.56818,0
0.417625,9.46465,0
0.418617,9.36166,0
0.419609,9.26289,0
0.420601,9.17135,0
0.421593,9.06976,0
0.422585,8.95319,0
0.423577,8.82792,0
0.424569,8.69995,0
0.425561,8.57494,0
0.426553,8.45826,0
0.427545,8.35496,0
0.428537,8.26992,0
0.429529,8.20785,0
0.430521,8.17338,0
0.431513,8.1524,0
0.432505,8.13296,0
0.433497,8.11523,0
0.434489,8.09935,0
0.435481,8.08549,0
0.436473,8.07379,0
0.437464,8.06441,0
0.438456,8.05752,0
0.439448,8.05326,0
0.44044,8.05181,0
0.441432,8.06706,0
0.442424,8.10957,0
0.443416,8.17466,0
0.444408,8.25771,0
0.4454,8.35404,0
0.446392,8.45881,0
0.447384,8.56694,0
0.448376,8.67312,0
0.449368,8.77175,0
0.45036,8.85702,0
0.451352,8.93604,0
0.452344,9.02286,0
0.453336,9.11422,0
0.454328,9.20658,0
0.45532,9.29629,0
0.456312,9.37953,0
0.457304,9.45237,0
0.458296,9.51078,0
0.459288,9.55071,0
0.46028,9.56814,0
0.461272,9.5653,0
0.462264,9.5529,0
0.463256,9.53214,0
0.464248,9.50396,0
0.46524,9.46929,0
0.466232,9.42909,0
0.467224,9.38431,0
0.468216,9.33587,0
0.469208,9.2847,0
0.4702,9.2317,0
0.471192,9.17019,0
0.472184,9.08336,0
0.473176,8.97556,0
0.474168,8.85222,0
0.47516,8.7186,0
0.476152,8.57971,0
0.477144,8.44031,0
