# 20240927_193022
alpha,DtauRe,DtauIm
1.16984,-56.9442,0
1.17141,-56.8056,0
1.17299,-56.6674,0
1.17456,-56.5295,0
1.17613,-56.3919,0
1.1777,-56.2547,0
1.17928,-56.1178,0
1.18085,-55.9813,0
1.18242,-55.8451,0
1.18399,-55.7094,0
1.18557,-55.574,0
1.18714,-55.439,0
1.18871,-55.3045,0
1.19028,-55.1704,0
1.19186,-55.0367,0
1.19343,-54.9034,0
1.195,-54.7706,0
1.19657,-54.6383,0
1.19814,-54.5064,0
1.19972,-54.3749,0
1.20129,-54.2439,0
1.20286,-54.1134,0
1.20443,-53.9834,0
1.20601,-53.8539,0
1.20758,-53.7248,0
1.20915,-53.5963,0
1.21072,-53.4682,0
1.2123,-53.3406,0
1.21387,-53.2135,0
1.21544,-53.0868,0
1.21701,-52.9607,0
1.21859,-52.835,0
1.22016,-52.7099,0
1.22173,-52.5852,0
1.2233,-52.461,0
1.22488,-52.3373,0
1.22645,-52.214,0
1.22802,-52.0912,0
1.22959,-51.9689,0
1.23116,-51.847,0
1.23274,-51.7256,0
1.23431,-51.6047,0
1.23588,-51.4842,0
1.23745,-51.3641,0
1.23903,-51.2445,0
1.2406,-51.1253,0
1.24217,-51.0065,0
1.24374,-50.8882,0
1.24532,-50.7702,0
1.24689,-50.6527,0
1.24846,-50.5356,0
1.25003,-50.4189,0
1.25161,-50.3026,0
1.25318,-50.1867,0
1.25475,-50.0711,0
1.25632,-49.956,0
1.25789,-49.8413,0
1.25947,-49.7269,0
1.26104,-49.6129,0
1.26261,-49.4993,0
1.26418,-49.3861,0
1.26576,-49.2733,0
1.26733,-49.1608,0
1.2689,-49.0488,0
1.27047,-48.9371,0
1.27205,-48.8258,0
1.27362,-48.7149,0
1.27519,-48.6044,0
1.27676,-48.4943,0
1.27834,-48.3846,0
1.27991,-48.2754,0
1.28148,-48.1666,0
1.28305,-48.0582,0
1.28463,-47.9502,0
1.2862,-47.8427,0
1.28777,-47.7356,0
1.28934,-47.6291,0
1.29091,-47.523,0
1.29249,-47.4174,0
1.29406,-47.3123,0
1.29563,-47.2077,0
1.2972,-47.1037,0
1.29878,-47.0002,0
1.30035,-46.8973,0
1.30192,-46.795,0
1.30349,-46.6932,0
1.30507,-46.592,0
1.30664,-46.4915,0
1.30821,-46.3916,0
1.30978,-46.2923,0
1.31136,-46.1937,0
1.31293,-46.0958,0
