# 20240927_195706
alpha,tauRe,tauIm
0.602217,91.0517,0
0.60379,90.9386,0
0.605362,90.825,0
0.606934,90.7108,0
0.608507,90.596,0
0.610079,90.4806,0
0.611651,90.3647,0
0.613224,90.2481,0
0.614796,90.1311,0
0.616369,90.0134,0
0.617941,89.8952,0
0.619513,89.7764,0
0.621086,89.657,0
0.622658,89.537,0
0.62423,89.4165,0
0.625803,89.2955,0
0.627375,89.1738,0
0.628947,89.0516,0
0.63052,88.9288,0
0.632092,88.8055,0
0.633665,88.6815,0
0.635237,88.557,0
0.636809,88.432,0
0.638382,88.3064,0
0.639954,88.1802,0
0.641526,88.0535,0
0.643099,87.9262,0
0.644671,87.7984,0
0.646244,87.6699,0
0.647816,87.541,0
0.649388,87.4115,0
0.650961,87.2814,0
0.652533,87.1507,0
0.654105,87.0196,0
0.655678,86.8878,0
0.65725,86.7555,0
0.658822,86.6227,0
0.660395,86.4893,0
0.661967,86.3554,0
0.66354,86.2209,0
0.665112,86.0859,0
0.666684,85.9503,0
0.668257,85.8142,0
0.669829,85.6776,0
0.671401,85.5404,0
0.672974,85.4026,0
0.674546,85.2644,0
0.676119,85.1256,0
0.677691,84.9863,0
0.679263,84.8464,0
0.680836,84.706,0
0.682408,84.5651,0
0.68398,84.4237,0
0.685553,84.2817,0
0.687125,84.1392,0
0.688697,83.9962,0
0.69027,83.8527,0
0.691842,83.7086,0
0.693415,83.564,0
0.694987,83.419,0
0.696559,83.2734,0
0.698132,83.1273,0
0.699704,82.9807,0
0.701276,82.8336,0
0.702849,82.686,0
0.704421,82.5378,0
0.705994,82.3892,0
0.707566,82.2401,0
0.709138,82.0905,0
0.710711,81.9404,0
0.712283,81.7898,0
0.713855,81.6387,0
0.715428,81.4872,0
0.717,81.3351,0
0.718572,81.1826,0
0.720145,81.0296,0
0.721717,80.8761,0
0.72329,80.7221,0
0.724862,80.5677,0
0.726434,80.4128,0
0.728007,80.2575,0
0.729579,80.1016,0
0.731151,79.9453,0
0.732724,79.7886,0
0.734296,79.6314,0
0.735869,79.4737,0
0.737441,79.3156,0
0.739013,79.1571,0
0.740586,78.9981,0
0.742158,78.8387,0
0.74373,78.6788,0
0.745303,78.5185,0
0.746875,78.3577,0
0.748447,78.1965,0
0.75002,78.0349,0
0.751592,77.8729,0
0.753165,77.7105,0
0.754737,77.5476,0
0.756309,77.3843,0
0.757882,77.2206,0
0.759454,77.0565,0
0.761026,76.892,0
0.762599,76.7271,0
0.764171,76.5618,0
0.765744,76.3961,0
0.767316,76.23,0
0.768888,76.0635,0
0.770461,75.8966,0
0.772033,75.7294,0
0.773605,75.5617,0
0.775178,75.3937,0
0.77675,75.2253,0
0.778323,75.0566,0
0.779895,74.8874,0
0.781467,74.718,0
0.78304,74.5481,0
0.784612,74.3779,0
0.786184,74.2073,0
0.787757,74.0364,0
0.789329,73.8652,0
0.790901,73.6936,0
0.792474,73.5217,0
0.794046,73.3494,0
0.795619,73.1768,0
0.797191,73.0039,0
0.798763,72.8306,0
0.800336,72.6571,0
0.801908,72.4832,0
0.80348,72.309,0
0.805053,72.1345,0
0.806625,71.9597,0
0.808198,71.7845,0
0.80977,71.6091,0
0.811342,71.4334,0
0.812915,71.2574,0
0.814487,71.0811,0
0.816059,70.9046,0
0.817632,70.7277,0
0.819204,70.5506,0
0.820776,70.3732,0
0.822349,70.1956,0
0.823921,70.0176,0
0.825494,69.8395,0
0.827066,69.661,0
0.828638,69.4824,0
0.830211,69.3034,0
0.831783,69.1242,0
0.833355,68.9448,0
0.834928,68.7652,0
0.8365,68.5853,0
0.838073,68.4052,0
0.839645,68.2249,0
0.841217,68.0443,0
0.84279,67.8636,0
0.844362,67.6826,0
0.845934,67.5015,0
0.847507,67.3201,0
0.849079,67.1385,0
0.850651,66.9568,0
0.852224,66.7748,0
0.853796,66.5927,0
0.855369,66.4104,0
0.856941,66.2279,0
0.858513,66.0452,0
0.860086,65.8624,0
0.861658,65.6794,0
0.86323,65.4963,0
0.864803,65.313,0
0.866375,65.1295,0
0.867948,64.9459,0
0.86952,64.7622,0
0.871092,64.5784,0
0.872665,64.3944,0
0.874237,64.2102,0
0.875809,64.026,0
0.877382,63.8417,0
0.878954,63.6572,0
0.880526,63.4726,0
0.882099,63.2879,0
0.883671,63.1032,0
0.885244,62.9183,0
0.886816,62.7333,0
0.888388,62.5483,0
0.889961,62.3632,0
0.891533,62.178,0
0.893105,61.9927,0
0.894678,61.8074,0
0.89625,61.622,0
0.897823,61.4366,0
0.899395,61.2511,0
0.900967,61.0656,0
0.90254,60.88,0
0.904112,60.6944,0
0.905684,60.5087,0
0.907257,60.3231,0
0.908829,60.1374,0
0.910401,59.9517,0
0.911974,59.766,0
0.913546,59.5802,0
0.915119,59.3945,0
0.916691,59.2088,0
0.918263,59.0231,0
0.919836,58.8374,0
0.921408,58.6517,0
0.92298,58.466,0
0.924553,58.2804,0
0.926125,58.0948,0
0.927698,57.9092,0
0.92927,57.7237,0
0.930842,57.5383,0
0.932415,57.3528,0
0.933987,57.1675,0
0.935559,56.9822,0
0.937132,56.7969,0
0.938704,56.6118,0
0.940276,56.4267,0
0.941849,56.2417,0
0.943421,56.0568,0
0.944994,55.8719,0
0.946566,55.6872,0
0.948138,55.5026,0
0.949711,55.318,0
0.951283,55.1336,0
0.952855,54.9493,0
0.954428,54.7651,0
0.956,54.5811,0
0.957573,54.3971,0
0.959145,54.2133,0
0.960717,54.0297,0
0.96229,53.8461,0
0.963862,53.6628,0
0.965434,53.4795,0
0.967007,53.2965,0
0.968579,53.1136,0
0.970151,52.9308,0
0.971724,52.7482,0
0.973296,52.5658,0
0.974869,52.3836,0
0.976441,52.2015,0
0.978013,52.0196,0
0.979586,51.838,0
0.981158,51.6565,0
0.98273,51.4752,0
0.984303,51.2941,0
0.985875,51.1132,0
0.987448,50.9325,0
0.98902,50.7521,0
0.990592,50.5718,0
0.992165,50.3918,0
0.993737,50.212,0
0.995309,50.0324,0
0.996882,49.853,0
0.998454,49.6739,0
1.00003,49.495,0
1.0016,49.3164,0
1.00317,49.138,0
1.00474,48.9598,0
1.00632,48.7819,0
1.00789,48.6043,0
1.00946,48.4269,0
