# 20240725_151038
alpha,pi0Re,pi0Im
0.65725,0.12701,0
0.658822,0.126943,0
0.660395,0.126873,0
0.661967,0.1268,0
0.66354,0.126726,0
0.665112,0.126649,0
0.666684,0.126571,0
0.668257,0.126491,0
0.669829,0.12641,0
0.671401,0.126327,0
0.672974,0.126243,0
0.674546,0.126154,0
0.676119,0.126062,0
0.677691,0.125964,0
0.679263,0.125863,0
0.680836,0.125759,0
0.682408,0.12565,0
0.68398,0.125538,0
0.685553,0.125424,0
0.687125,0.125306,0
0.688697,0.125186,0
0.69027,0.125064,0
0.691842,0.124939,0
0.693415,0.124813,0
0.694987,0.124685,0
0.696559,0.124553,0
0.698132,0.124418,0
0.699704,0.124279,0
0.701276,0.124137,0
0.702849,0.123991,0
0.704421,0.123842,0
0.705994,0.12369,0
0.707566,0.123534,0
0.709138,0.123376,0
0.710711,0.123215,0
0.712283,0.12305,0
0.713855,0.122884,0
0.715428,0.122714,0
0.717,0.122542,0
0.718572,0.122368,0
0.720145,0.122191,0
0.721717,0.122011,0
0.72329,0.121828,0
0.724862,0.121641,0
0.726434,0.12145,0
0.728007,0.121257,0
0.729579,0.121059,0
0.731151,0.120859,0
0.732724,0.120655,0
0.734296,0.120447,0
0.735869,0.120237,0
0.737441,0.120024,0
0.739013,0.119807,0
0.740586,0.119588,0
0.742158,0.119365,0
0.74373,0.11914,0
0.745303,0.118912,0
0.746875,0.118681,0
0.748447,0.118448,0
0.75002,0.118212,0
0.751592,0.117974,0
0.753165,0.117732,0
0.754737,0.117487,0
0.756309,0.117239,0
0.757882,0.116987,0
0.759454,0.116732,0
0.761026,0.116473,0
0.762599,0.116212,0
0.764171,0.115947,0
0.765744,0.115679,0
0.767316,0.115407,0
0.768888,0.115133,0
0.770461,0.114856,0
0.772033,0.114575,0
0.773605,0.114292,0
0.775178,0.114006,0
0.77675,0.113717,0
0.778323,0.113425,0
0.779895,0.11313,0
0.781467,0.112833,0
0.78304,0.112533,0
0.784612,0.11223,0
0.786184,0.111925,0
0.787757,0.111617,0
0.789329,0.111307,0
0.790901,0.110994,0
0.792474,0.110679,0
0.794046,0.110362,0
0.795619,0.110042,0
0.797191,0.109719,0
0.798763,0.109392,0
0.800336,0.109062,0
0.801908,0.108729,0
0.80348,0.108392,0
0.805053,0.108052,0
0.806625,0.107709,0
0.808198,0.107362,0
0.80977,0.107013,0
0.811342,0.10666,0
0.812915,0.106305,0
0.814487,0.105946,0
0.816059,0.105585,0
0.817632,0.105221,0
0.819204,0.104855,0
0.820776,0.104485,0
0.822349,0.104114,0
0.823921,0.10374,0
0.825494,0.103363,0
0.827066,0.102984,0
0.828638,0.102603,0
0.830211,0.10222,0
0.831783,0.101835,0
0.833355,0.101447,0
0.834928,0.101058,0
0.8365,0.100667,0
0.838073,0.100273,0
0.839645,0.0998785,0
0.841217,0.099482,0
0.84279,0.0990838,0
0.844362,0.0986841,0
0.845934,0.0982828,0
0.847507,0.0978802,0
0.849079,0.0974762,0
0.850651,0.097071,0
0.852224,0.0966645,0
0.853796,0.0962569,0
0.855369,0.0958482,0
0.856941,0.0954385,0
0.858513,0.0950279,0
0.860086,0.0946165,0
0.861658,0.0942042,0
0.86323,0.0937912,0
0.864803,0.0933776,0
0.866375,0.0929634,0
0.867948,0.0925479,0
0.86952,0.0921295,0
0.871092,0.0917081,0
0.872665,0.091284,0
0.874237,0.0908571,0
0.875809,0.0904276,0
0.877382,0.0899954,0
0.878954,0.0895606,0
0.880526,0.0891234,0
0.882099,0.0886837,0
0.883671,0.0882416,0
0.885244,0.0877973,0
0.886816,0.0873507,0
0.888388,0.086902,0
0.889961,0.0864512,0
0.891533,0.0859983,0
0.893105,0.0855435,0
0.894678,0.0850868,0
0.89625,0.0846282,0
0.897823,0.0841679,0
0.899395,0.0837058,0
0.900967,0.0832422,0
0.90254,0.0827769,0
0.904112,0.0823102,0
0.905684,0.081842,0
0.907257,0.0813724,0
0.908829,0.0809015,0
0.910401,0.0804294,0
0.911974,0.0799561,0
0.913546,0.0794817,0
0.915119,0.0790062,0
0.916691,0.0785298,0
0.918263,0.0780524,0
0.919836,0.0775742,0
0.921408,0.0770952,0
0.92298,0.0766155,0
0.924553,0.0761352,0
0.926125,0.0756542,0
0.927698,0.0751727,0
0.92927,0.0746908,0
0.930842,0.0742085,0
0.932415,0.0737259,0
0.933987,0.073243,0
0.935559,0.0727599,0
0.937132,0.0722767,0
0.938704,0.0717934,0
0.940276,0.0713101,0
0.941849,0.0708269,0
0.943421,0.0703439,0
0.944994,0.069861,0
0.946566,0.0693784,0
0.948138,0.0688962,0
0.949711,0.0684143,0
0.951283,0.0679329,0
0.952855,0.067452,0
0.954428,0.0669718,0
0.956,0.0664922,0
0.957573,0.0660133,0
0.959145,0.0655352,0
0.960717,0.065058,0
0.96229,0.0645817,0
0.963862,0.0641064,0
0.965434,0.0636321,0
0.967007,0.063159,0
0.968579,0.0626871,0
0.970151,0.0622164,0
0.971724,0.061747,0
0.973296,0.0612791,0
0.974869,0.0608125,0
0.976441,0.0603475,0
0.978013,0.0598841,0
0.979586,0.0594223,0
0.981158,0.0589622,0
0.98273,0.058504,0
0.984303,0.0580475,0
0.985875,0.057593,0
0.987448,0.0571395,0
0.98902,0.0566856,0
0.990592,0.0562316,0
0.992165,0.0557773,0
0.993737,0.0553227,0
0.995309,0.054868,0
0.996882,0.054413,0
0.998454,0.0539579,0
1.00003,0.0535027,0
1.0016,0.0530473,0
1.00317,0.0525918,0
1.00474,0.0521362,0
1.00632,0.0516806,0
1.00789,0.0512249,0
1.00946,0.0507691,0
1.01103,0.0503134,0
1.01261,0.0498576,0
1.01418,0.0494019,0
1.01575,0.0489462,0
1.01732,0.0484906,0
1.01889,0.0480351,0
1.02047,0.0475796,0
1.02204,0.0471243,0
1.02361,0.0466692,0
1.02518,0.0462141,0
1.02676,0.0457593,0
1.02833,0.0453047,0
1.0299,0.0448502,0
1.03147,0.044396,0
1.03305,0.0439421,0
1.03462,0.0434884,0
1.03619,0.0430351,0
1.03776,0.042582,0
1.03934,0.0421293,0
1.04091,0.0416769,0
1.04248,0.0412249,0
1.04405,0.0407732,0
1.04563,0.040322,0
1.0472,0.0398712,0
1.04877,0.0394209,0
1.05034,0.038971,0
1.05191,0.0385216,0
1.05349,0.0380727,0
1.05506,0.0376243,0
1.05663,0.0371765,0
1.0582,0.0367292,0
1.05978,0.0362826,0
1.06135,0.0358365,0
1.06292,0.035391,0
1.06449,0.0349462,0
1.06607,0.034502,0
1.06764,0.0340585,0
1.06921,0.0336157,0
1.07078,0.0331736,0
1.07236,0.0327322,0
1.07393,0.0322916,0
1.0755,0.0318518,0
1.07707,0.0314127,0
1.07864,0.0309745,0
1.08022,0.0305371,0
1.08179,0.0301005,0
1.08336,0.0296648,0
1.08493,0.02923,0
1.08651,0.0287961,0
1.08808,0.0283631,0
1.08965,0.0279311,0
1.09122,0.0275,0
1.0928,0.0270699,0
1.09437,0.0266409,0
1.09594,0.0262128,0
1.09751,0.0257858,0
1.09909,0.0253598,0
1.10066,0.0249349,0
1.10223,0.0245111,0
1.1038,0.0240884,0
1.10538,0.0236669,0
1.10695,0.0232465,0
1.10852,0.0228273,0
1.11009,0.0224093,0
1.11166,0.0219925,0
1.11324,0.0215769,0
1.11481,0.0211626,0
1.11638,0.0207495,0
1.11795,0.0203377,0
1.11953,0.0199273,0
1.1211,0.0195182,0
1.12267,0.0191104,0
1.12424,0.0187039,0
1.12582,0.0182989,0
1.12739,0.0178954,0
1.12896,0.0174939,0
1.13053,0.0170947,0
1.13211,0.0166976,0
1.13368,0.0163025,0
1.13525,0.0159095,0
1.13682,0.0155184,0
1.13839,0.0151293,0
1.13997,0.014742,0
1.14154,0.0143564,0
1.14311,0.0139726,0
1.14468,0.0135905,0
1.14626,0.0132099,0
1.14783,0.012831,0
1.1494,0.0124535,0
1.15097,0.0120774,0
1.15255,0.0117027,0
1.15412,0.0113294,0
1.15569,0.0109573,0
1.15726,0.0105864,0
1.15884,0.0102167,0
1.16041,0.009848,0
1.16198,0.00948037,0
1.16355,0.00911372,0
1.16513,0.00874797,0
1.1667,0.00838316,0
1.16827,0.00801947,0
1.16984,0.00765692,0
1.17141,0.00729549,0
1.17299,0.00693518,0
1.17456,0.00657595,0
1.17613,0.00621781,0
1.1777,0.00586075,0
1.17928,0.00550474,0
1.18085,0.00514977,0
1.18242,0.00479584,0
1.18399,0.00444293,0
1.18557,0.00409103,0
1.18714,0.00374012,0
1.18871,0.00339019,0
1.19028,0.00304123,0
1.19186,0.00269323,0
1.19343,0.00234617,0
1.195,0.00200004,0
1.19657,0.00165483,0
1.19814,0.00131052,0
1.19972,0.000967104,0
1.20129,0.000624568,0
1.20286,0.000282899,0
1.20443,-5.79171e-05,0
1.20601,-0.000397892,0
1.20758,-0.000737039,0
1.20915,-0.00107537,0
1.21072,-0.0014129,0
1.2123,-0.00174964,0
1.21387,-0.0020856,0
1.21544,-0.0024208,0
1.21701,-0.00275497,0
1.21859,-0.00308785,0
1.22016,-0.00341947,0
1.22173,-0.00374985,0
1.2233,-0.00407901,0
1.22488,-0.00440698,0
1.22645,-0.00473379,0
1.22802,-0.00505946,0
1.22959,-0.00538401,0
1.23116,-0.00570747,0
1.23274,-0.00602986,0
1.23431,-0.0063512,0
1.23588,-0.00667153,0
1.23745,-0.00699086,0
1.23903,-0.00730922,0
1.2406,-0.00762664,0
1.24217,-0.00794313,0
1.24374,-0.00825873,0
1.24532,-0.00857345,0
1.24689,-0.0088873,0
1.24846,-0.00920022,0
1.25003,-0.00951223,0
1.25161,-0.0098233,0
1.25318,-0.0101334,0
1.25475,-0.0104426,0
1.25632,-0.0107509,0
1.25789,-0.0110582,0
1.25947,-0.0113646,0
1.26104,-0.01167,0
1.26261,-0.0119744,0
1.26418,-0.0122779,0
1.26576,-0.0125804,0
1.26733,-0.012882,0
1.2689,-0.0131825,0
1.27047,-0.0134821,0
1.27205,-0.0137807,0
1.27362,-0.0140783,0
1.27519,-0.0143749,0
1.27676,-0.0146706,0
1.27834,-0.0149659,0
1.27991,-0.0152606,0
1.28148,-0.0155547,0
1.28305,-0.0158483,0
1.28463,-0.0161414,0
1.2862,-0.0164338,0
1.28777,-0.0167257,0
1.28934,-0.0170169,0
1.29091,-0.0173075,0
1.29249,-0.0175975,0
1.29406,-0.0178868,0
1.29563,-0.0181755,0
1.2972,-0.0184635,0
1.29878,-0.0187508,0
1.30035,-0.0190373,0
1.30192,-0.0193232,0
1.30349,-0.0196083,0
1.30507,-0.0198927,0
1.30664,-0.0201763,0
1.30821,-0.0204591,0
1.30978,-0.0207412,0
1.31136,-0.0210224,0
1.31293,-0.0213029,0
1.3145,-0.0215825,0
1.31607,-0.0218612,0
1.31764,-0.0221391,0
1.31922,-0.0224162,0
1.32079,-0.0226923,0
1.32236,-0.0229675,0
1.32393,-0.0232419,0
1.32551,-0.0235153,0
1.32708,-0.023788,0
1.32865,-0.0240601,0
1.33022,-0.0243316,0
1.3318,-0.0246025,0
1.33337,-0.0248728,0
1.33494,-0.0251425,0
1.33651,-0.0254116,0
1.33809,-0.0256801,0
1.33966,-0.0259479,0
1.34123,-0.0262152,0
1.3428,-0.0264818,0
1.34438,-0.0267479,0
1.34595,-0.0270133,0
1.34752,-0.0272782,0
1.34909,-0.0275424,0
1.35066,-0.027806,0
1.35224,-0.028069,0
1.35381,-0.0283314,0
1.35538,-0.0285932,0
1.35695,-0.0288544,0
