# 20240927_201024
alpha,rRe,rIm
0.654105,72.3389,0
0.655678,72.4606,0
0.65725,72.5817,0
0.658822,72.7021,0
0.660395,72.8219,0
0.661967,72.941,0
0.66354,73.0594,0
0.665112,73.1772,0
0.666684,73.2943,0
0.668257,73.4107,0
0.669829,73.5265,0
0.671401,73.6415,0
0.672974,73.7559,0
0.674546,73.8696,0
0.676119,73.9827,0
0.677691,74.095,0
0.679263,74.2066,0
0.680836,74.3176,0
0.682408,74.4278,0
0.68398,74.5374,0
0.685553,74.6462,0
0.687125,74.7543,0
0.688697,74.8618,0
0.69027,74.9685,0
0.691842,75.0745,0
0.693415,75.1798,0
0.694987,75.2843,0
0.696559,75.3882,0
0.698132,75.4913,0
0.699704,75.5937,0
0.701276,75.6953,0
0.702849,75.7963,0
0.704421,75.8965,0
0.705994,75.9959,0
0.707566,76.0946,0
0.709138,76.1926,0
0.710711,76.2899,0
0.712283,76.3864,0
0.713855,76.4821,0
0.715428,76.5771,0
0.717,76.6714,0
0.718572,76.7649,0
0.720145,76.8576,0
0.721717,76.9496,0
0.72329,77.0408,0
0.724862,77.1313,0
0.726434,77.221,0
0.728007,77.3099,0
0.729579,77.3981,0
0.731151,77.4855,0
0.732724,77.5722,0
0.734296,77.658,0
0.735869,77.7431,0
0.737441,77.8274,0
0.739013,77.911,0
0.740586,77.9937,0
0.742158,78.0757,0
0.74373,78.1569,0
0.745303,78.2373,0
0.746875,78.3169,0
0.748447,78.3958,0
0.75002,78.4738,0
0.751592,78.5511,0
0.753165,78.6276,0
0.754737,78.7033,0
0.756309,78.7782,0
0.757882,78.8523,0
0.759454,78.9256,0
0.761026,78.9981,0
0.762599,79.0698,0
0.764171,79.1408,0
0.765744,79.2109,0
0.767316,79.2802,0
0.768888,79.3487,0
0.770461,79.4164,0
0.772033,79.4834,0
0.773605,79.5495,0
0.775178,79.6148,0
0.77675,79.6793,0
0.778323,79.743,0
0.779895,79.8059,0
0.781467,79.8679,0
0.78304,79.9292,0
0.784612,79.9897,0
0.786184,80.0493,0
0.787757,80.1082,0
0.789329,80.1662,0
0.790901,80.2235,0
0.792474,80.2799,0
0.794046,80.3355,0
0.795619,80.3903,0
0.797191,80.4442,0
0.798763,80.4974,0
0.800336,80.5498,0
0.801908,80.6013,0
0.80348,80.652,0
0.805053,80.7019,0
0.806625,80.751,0
0.808198,80.7993,0
0.80977,80.8468,0
0.811342,80.8935,0
0.812915,80.9393,0
0.814487,80.9843,0
0.816059,81.0286,0
0.817632,81.072,0
0.819204,81.1146,0
0.820776,81.1564,0
0.822349,81.1973,0
0.823921,81.2375,0
0.825494,81.2768,0
0.827066,81.3154,0
0.828638,81.3531,0
0.830211,81.3901,0
0.831783,81.4262,0
0.833355,81.4615,0
0.834928,81.496,0
0.8365,81.5297,0
0.838073,81.5626,0
0.839645,81.5947,0
0.841217,81.626,0
0.84279,81.6565,0
0.844362,81.6862,0
0.845934,81.7151,0
0.847507,81.7432,0
0.849079,81.7705,0
0.850651,81.797,0
0.852224,81.8227,0
0.853796,81.8476,0
0.855369,81.8718,0
0.856941,81.8951,0
