# 20241120_113215
q,primespecRe,primespecIm
0.510511,0.332602,0
0.513514,0.378574,0
0.516517,0.426813,0
0.51952,0.465947,0
0.522523,0.476604,0
0.525526,0.470227,0
0.528529,0.457966,0
0.531532,0.44283,0
0.534535,0.414087,0
0.537538,0.373423,0
0.540541,0.345703,0
0.543544,0.343297,0
0.546547,0.348353,0
0.54955,0.357107,0
0.552553,0.36962,0
0.555556,0.405942,0
0.558559,0.461903,0
0.561562,0.514007,0
0.564565,0.551242,0
0.567568,0.586959,0
0.570571,0.609975,0
0.573574,0.609043,0
0.576577,0.587075,0
0.57958,0.554205,0
0.582583,0.518661,0
0.585586,0.465686,0
0.588589,0.408512,0
0.591592,0.366971,0
0.594595,0.34144,0
0.597598,0.320157,0
0.600601,0.307675,0
0.603604,0.309303,0
0.606607,0.328448,0
0.60961,0.354748,0
0.612613,0.374029,0
0.615616,0.388375,0
0.618619,0.400623,0
0.621622,0.406701,0
0.624625,0.397202,0
0.627628,0.368976,0
0.630631,0.335003,0
0.633634,0.300532,0
0.636637,0.254279,0
0.63964,0.218012,0
0.642643,0.206742,0
0.645646,0.207361,0
0.648649,0.208849,0
0.651652,0.21114,0
0.654655,0.224155,0
0.657658,0.259757,0
0.660661,0.302631,0
0.663664,0.331137,0
0.666667,0.356165,0
0.66967,0.375804,0
0.672673,0.382173,0
0.675676,0.372896,0
0.678679,0.354953,0
0.681682,0.335519,0
0.684685,0.31403,0
0.687688,0.287933,0
0.690691,0.269629,0
0.693694,0.267456,0
0.696697,0.274795,0
0.6997,0.287262,0
0.702703,0.302185,0
0.705706,0.328599,0
0.708709,0.364228,0
0.711712,0.392168,0
0.714715,0.40247,0
0.717718,0.410028,0
0.720721,0.41449,0
0.723724,0.412043,0
0.726727,0.386722,0
0.72973,0.349983,0
0.732733,0.315732,0
0.735736,0.27672,0
0.738739,0.238712,0
0.741742,0.215659,0
0.744745,0.208992,0
0.747748,0.204604,0
0.750751,0.202122,0
0.753754,0.203409,0
0.756757,0.217764,0
0.75976,0.236971,0
0.762763,0.245976,0
0.765766,0.245069,0
0.768769,0.242742,0
0.771772,0.239234,0
0.774775,0.2285,0
0.777778,0.202753,0
0.780781,0.175913,0
0.783784,0.156341,0
0.786787,0.137657,0
0.78979,0.123375,0
0.792793,0.118127,0
0.795796,0.124604,0
0.798799,0.13987,0
0.801802,0.158968,0
0.804805,0.17923,0
0.807808,0.206501,0
0.810811,0.231059,0
0.813814,0.239414,0
0.816817,0.242037,0
0.81982,0.243701,0
0.822823,0.244255,0
0.825826,0.233335,0
0.828829,0.212013,0
0.831832,0.193324,0
0.834835,0.182675,0
0.837838,0.173498,0
0.840841,0.167403,0
0.843844,0.16695,0
0.846847,0.177338,0
0.84985,0.194722,0
0.852853,0.211522,0
0.855856,0.227077,0
0.858859,0.243422,0
0.861862,0.253864,0
0.864865,0.252807,0
0.867868,0.244063,0
0.870871,0.231142,0
0.873874,0.216003,0
0.876877,0.190547,0
0.87988,0.162721,0
0.882883,0.141338,0
0.885886,0.124437,0
0.888889,0.109891,0
0.891892,0.101847,0
0.894895,0.102641,0
0.897898,0.109479,0
0.900901,0.118839,0
0.903904,0.126799,0
0.906907,0.135137,0
0.90991,0.142897,0
0.912913,0.146547,0
0.915916,0.142749,0
0.918919,0.133288,0
0.921922,0.122164,0
0.924925,0.109985,0
0.927928,0.0936078,0
0.930931,0.0813237,0
0.933934,0.0782766,0
0.936937,0.0802387,0
0.93994,0.0841946,0
0.942943,0.0895053,0
0.945946,0.0999964,0
0.948949,0.118489,0
0.951952,0.137998,0
0.954955,0.149945,0
0.957958,0.16024,0
0.960961,0.167691,0
0.963964,0.169364,0
0.966967,0.162869,0
0.96997,0.151681,0
0.972973,0.140188,0
0.975976,0.126923,0
0.978979,0.112018,0
0.981982,0.102569,0
0.984985,0.10166,0
0.987988,0.10291,0
0.990991,0.105032,0
0.993994,0.107971,0
0.996997,0.116493,0
1,0.128116,0
1.003,0.13512,0
1.00601,0.134706,0
1.00901,0.133054,0
1.01201,0.130472,0
1.01502,0.125174,0
1.01802,0.110684,0
1.02102,0.0936994,0
1.02402,0.0796296,0
1.02703,0.0647637,0
1.03003,0.0525753,0
