# 20240725_151947
alpha,DpiplusRe,DpiplusIm
0.492151,2.0637,-1.3433
0.493724,2.07034,-1.33842
0.495296,2.07685,-1.33338
0.496869,2.08364,-1.32847
0.498441,2.09073,-1.32369
0.500013,2.09786,-1.31887
0.501586,2.10498,-1.314
0.503158,2.11218,-1.30911
0.50473,2.11934,-1.30416
0.506303,2.12646,-1.29913
0.507875,2.13352,-1.29401
0.509447,2.14049,-1.28878
0.51102,2.14744,-1.28345
0.512592,2.1544,-1.27807
0.514165,2.16146,-1.27268
0.515737,2.16859,-1.26726
0.517309,2.17576,-1.2618
0.518882,2.18295,-1.25628
0.520454,2.19015,-1.25069
0.522026,2.19736,-1.24505
0.523599,2.20458,-1.23934
0.525171,2.21174,-1.23353
0.526744,2.2185,-1.22743
0.528316,2.22497,-1.2211
0.529888,2.23134,-1.21466
0.531461,2.23779,-1.2082
0.533033,2.24448,-1.20182
0.534605,2.25136,-1.19547
0.536178,2.2583,-1.18908
0.53775,2.26527,-1.18265
0.539322,2.27226,-1.17616
0.540895,2.27921,-1.16959
0.542467,2.28604,-1.16289
0.54404,2.29276,-1.15607
0.545612,2.29942,-1.14916
0.547184,2.30603,-1.14215
0.548757,2.31262,-1.13507
0.550329,2.3192,-1.12792
0.551901,2.32579,-1.12072
0.553474,2.33235,-1.11343
0.555046,2.33891,-1.10608
0.556619,2.3456,-1.09873
0.558191,2.35238,-1.09135
0.559763,2.35909,-1.08387
0.561336,2.36573,-1.07629
0.562908,2.37239,-1.06866
0.56448,2.37914,-1.061
0.566053,2.38587,-1.05326
0.567625,2.39244,-1.04538
0.569197,2.39885,-1.03737
0.57077,2.40517,-1.02926
0.572342,2.41147,-1.02107
0.573915,2.41777,-1.01282
0.575487,2.42406,-1.00449
0.577059,2.4303,-0.996084
0.578632,2.4365,-0.987592
0.580204,2.44262,-0.979008
0.581776,2.44865,-0.970326
0.583349,2.45458,-0.961543
0.584921,2.46029,-0.952614
0.586494,2.46576,-0.94354
0.588066,2.47111,-0.934362
0.589638,2.47642,-0.925118
0.591211,2.48179,-0.915843
0.592783,2.48728,-0.906561
0.594355,2.49286,-0.897257
0.595928,2.4985,-0.88792
0.5975,2.50424,-0.878565
