# 20240806_163017
q,primespecRe,primespecIm
2.21443,7.48955,0
2.21944,8.62187,0
2.22445,9.16682,0
2.22946,9.38598,0
2.23447,9.26681,0
2.23948,8.30848,0
2.24449,7.44362,0
2.2495,6.66998,0
2.25451,6.55249,0
2.25952,6.81348,0
2.26453,7.17042,0
2.26954,7.67585,0
2.27455,7.72997,0
2.27956,7.2763,0
2.28457,6.5796,0
2.28958,5.50799,0
2.29459,4.99321,0
2.2996,4.73681,0
2.30461,4.81303,0
2.30962,5.58245,0
2.31463,6.28513,0
2.31964,6.88972,0
2.32465,6.9596,0
2.32966,6.62206,0
2.33467,6.20385,0
2.33968,5.68817,0
2.34469,5.63871,0
2.3497,6.02211,0
2.35471,6.60697,0
2.35972,7.54842,0
2.36473,7.88011,0
2.36974,7.96486,0
2.37475,7.80707,0
2.37976,6.86799,0
2.38477,6.01459,0
2.38978,5.24326,0
2.39479,5.12687,0
2.3998,5.28861,0
2.40481,5.55237,0
2.40982,5.99389,0
2.41483,6.03969,0
2.41984,5.70157,0
2.42485,5.16435,0
2.42986,4.34721,0
2.43487,4.07739,0
2.43988,3.99212,0
2.44489,4.11341,0
2.4499,4.8942,0
2.45491,5.55971,0
2.45992,6.0957,0
2.46493,6.13686,0
2.46994,5.80176,0
2.47495,5.3574,0
2.47996,4.78769,0
2.48497,4.70845,0
2.48998,4.8857,0
2.49499,5.226,0
2.5,5.88417,0
2.50501,6.02297,0
2.51002,5.97549,0
2.51503,5.73409,0
2.52004,4.88602,0
2.52505,4.18624,0
2.53006,3.60607,0
2.53507,3.55617,0
2.54008,3.81917,0
2.54509,4.18346,0
2.5501,4.69373,0
2.55511,4.77234,0
2.56012,4.62589,0
2.56513,4.32271,0
2.57014,3.77981,0
2.57515,3.69294,0
2.58016,3.78119,0
2.58517,4.04283,0
2.59018,4.81283,0
2.59519,5.39126,0
2.6002,5.81335,0
2.60521,5.79974,0
2.61022,5.36985,0
2.61523,4.82465,0
2.62024,4.17485,0
2.62525,4.06733,0
2.63026,4.07031,0
2.63527,4.17819,0
2.64028,4.61902,0
2.64529,4.69602,0
2.6503,4.57945,0
2.65531,4.27194,0
2.66032,3.55755,0
2.66533,3.02858,0
2.67034,2.62712,0
2.67535,2.63294,0
2.68036,2.9763,0
2.68537,3.3957,0
2.69038,3.90649,0
2.69539,3.98477,0
2.7004,3.90892,0
2.70541,3.70188,0
2.71042,3.28238,0
2.71543,3.2287,0
2.72044,3.33731,0
2.72545,3.60291,0
2.73046,4.23855,0
2.73547,4.63941,0
2.74048,4.89284,0
2.74549,4.82319,0
2.7505,4.33311,0
2.75551,3.7725,0
2.76052,3.17756,0
2.76553,3.09136,0
2.77054,3.0954,0
2.77555,3.20139,0
2.78056,3.59426,0
2.78557,3.66025,0
2.79058,3.59554,0
2.79559,3.37256,0
2.8006,2.837,0
2.80561,2.54188,0
2.81062,2.36259,0
2.81563,2.43639,0
2.82064,2.90519,0
2.82565,3.38517,0
2.83066,3.86999,0
2.83567,3.92422,0
2.84068,3.81644,0
2.84569,3.56249,0
2.8507,3.11286,0
2.85571,3.01913,0
2.86072,3.00272,0
2.86573,3.11388,0
2.87074,3.56513,0
2.87575,3.75378,0
2.88076,3.83293,0
2.88577,3.71294,0
2.89078,3.18358,0
2.89579,2.64933,0
2.9008,2.15074,0
2.90581,2.09745,0
2.91082,2.15176,0
2.91583,2.32211,0
2.92084,2.71735,0
2.92585,2.78595,0
2.93086,2.78675,0
2.93587,2.66312,0
2.94088,2.29033,0
2.94589,2.22131,0
2.9509,2.21269,0
2.95591,2.33201,0
2.96092,2.86114,0
2.96593,3.32167,0
2.97094,3.71929,0
2.97595,3.73162,0
2.98096,3.54602,0
2.98597,3.22769,0
2.99098,2.77398,0
2.99599,2.62488,0
3.001,2.56315,0
3.00601,2.65039,0
3.01102,2.97291,0
3.01603,3.04587,0
3.02104,3.05867,0
3.02605,2.92762,0
3.03106,2.44919,0
3.03607,2.03104,0
3.04108,1.68235,0
3.04609,1.67818,0
3.0511,1.83837,0
3.05611,2.09977,0
3.06112,2.49279,0
3.06613,2.56974,0
3.07114,2.58231,0
3.07615,2.46962,0
3.08116,2.14989,0
3.08617,2.08608,0
3.09118,2.07289,0
3.09619,2.17981,0
3.1012,2.60308,0
3.10621,2.9159,0
3.11122,3.15221,0
3.11623,3.10837,0
3.12124,2.82572,0
3.12625,2.44617,0
3.13126,2.01158,0
3.13627,1.87626,0
3.14128,1.81886,0
3.14629,1.89935,0
3.1513,2.17918,0
3.15631,2.25084,0
3.16132,2.2703,0
3.16633,2.16156,0
3.17134,1.81992,0
3.17635,1.60498,0
3.18136,1.45881,0
