# 20240725_151055
alpha,chiRe,chiIm
0.674546,-0.0133881,0
0.676119,-0.0134419,0
0.677691,-0.0134955,0
0.679263,-0.0135488,0
0.680836,-0.0136019,0
0.682408,-0.0136549,0
0.68398,-0.0137078,0
0.685553,-0.0137608,0
0.687125,-0.0138136,0
0.688697,-0.0138664,0
0.69027,-0.0139191,0
0.691842,-0.0139717,0
0.693415,-0.0140241,0
0.694987,-0.0140764,0
0.696559,-0.0141286,0
0.698132,-0.0141806,0
0.699704,-0.0142324,0
0.701276,-0.014284,0
0.702849,-0.0143354,0
0.704421,-0.0143865,0
0.705994,-0.0144374,0
0.707566,-0.014488,0
0.709138,-0.0145384,0
0.710711,-0.0145884,0
0.712283,-0.0146382,0
0.713855,-0.0146876,0
0.715428,-0.0147366,0
0.717,-0.0147854,0
0.718572,-0.0148337,0
0.720145,-0.0148817,0
0.721717,-0.0149292,0
0.72329,-0.0149763,0
0.724862,-0.015023,0
0.726434,-0.0150693,0
0.728007,-0.015115,0
0.729579,-0.0151603,0
0.731151,-0.0152053,0
0.732724,-0.0152503,0
0.734296,-0.0152951,0
0.735869,-0.0153397,0
0.737441,-0.0153842,0
0.739013,-0.0154286,0
0.740586,-0.0154727,0
0.742158,-0.0155166,0
0.74373,-0.0155604,0
0.745303,-0.0156038,0
0.746875,-0.015647,0
0.748447,-0.0156899,0
0.75002,-0.0157326,0
0.751592,-0.0157749,0
0.753165,-0.0158169,0
0.754737,-0.0158585,0
0.756309,-0.0158998,0
0.757882,-0.0159406,0
0.759454,-0.0159811,0
0.761026,-0.0160212,0
0.762599,-0.0160608,0
0.764171,-0.0160999,0
0.765744,-0.0161386,0
0.767316,-0.0161768,0
0.768888,-0.0162144,0
0.770461,-0.0162516,0
0.772033,-0.0162882,0
0.773605,-0.0163242,0
0.775178,-0.0163596,0
0.77675,-0.0163945,0
0.778323,-0.0164287,0
0.779895,-0.0164623,0
0.781467,-0.0164958,0
0.78304,-0.0165292,0
0.784612,-0.0165624,0
0.786184,-0.0165955,0
0.787757,-0.0166285,0
0.789329,-0.0166612,0
0.790901,-0.0166937,0
0.792474,-0.016726,0
0.794046,-0.016758,0
0.795619,-0.0167898,0
0.797191,-0.0168211,0
0.798763,-0.0168522,0
0.800336,-0.0168829,0
0.801908,-0.0169132,0
0.80348,-0.0169431,0
0.805053,-0.0169725,0
0.806625,-0.0170015,0
0.808198,-0.01703,0
0.80977,-0.0170579,0
0.811342,-0.0170854,0
0.812915,-0.0171122,0
0.814487,-0.0171385,0
0.816059,-0.0171642,0
0.817632,-0.0171892,0
0.819204,-0.0172136,0
0.820776,-0.0172373,0
0.822349,-0.0172603,0
0.823921,-0.0172825,0
0.825494,-0.017304,0
0.827066,-0.0173247,0
0.828638,-0.0173446,0
0.830211,-0.017364,0
0.831783,-0.0173838,0
0.833355,-0.0174037,0
0.834928,-0.0174238,0
0.8365,-0.017444,0
0.838073,-0.0174642,0
0.839645,-0.0174845,0
0.841217,-0.0175046,0
0.84279,-0.0175247,0
0.844362,-0.0175445,0
0.845934,-0.0175642,0
0.847507,-0.0175835,0
0.849079,-0.0176025,0
0.850651,-0.017621,0
0.852224,-0.0176392,0
0.853796,-0.0176568,0
0.855369,-0.0176738,0
0.856941,-0.0176902,0
0.858513,-0.0177059,0
0.860086,-0.0177209,0
0.861658,-0.017735,0
0.86323,-0.0177483,0
0.864803,-0.0177607,0
0.866375,-0.0177722,0
0.867948,-0.0177826,0
0.86952,-0.0177919,0
0.871092,-0.0178001,0
0.872665,-0.0178071,0
0.874237,-0.0178129,0
0.875809,-0.0178173,0
0.877382,-0.0178204,0
0.878954,-0.0178221,0
0.880526,-0.0178224,0
0.882099,-0.0178222,0
0.883671,-0.0178219,0
0.885244,-0.0178213,0
0.886816,-0.0178206,0
0.888388,-0.0178197,0
0.889961,-0.0178186,0
0.891533,-0.0178174,0
0.893105,-0.0178159,0
0.894678,-0.0178143,0
0.89625,-0.0178126,0
0.897823,-0.0178106,0
0.899395,-0.0178085,0
0.900967,-0.0178063,0
0.90254,-0.0178039,0
0.904112,-0.0178013,0
0.905684,-0.0177986,0
0.907257,-0.0177957,0
0.908829,-0.0177927,0
0.910401,-0.0177895,0
0.911974,-0.0177862,0
0.913546,-0.0177827,0
0.915119,-0.0177791,0
0.916691,-0.0177754,0
0.918263,-0.0177716,0
0.919836,-0.0177676,0
0.921408,-0.0177635,0
0.92298,-0.0177592,0
0.924553,-0.0177548,0
0.926125,-0.0177504,0
0.927698,-0.0177458,0
0.92927,-0.017741,0
0.930842,-0.0177362,0
0.932415,-0.0177313,0
0.933987,-0.0177262,0
0.935559,-0.0177211,0
0.937132,-0.0177158,0
0.938704,-0.0177105,0
0.940276,-0.017705,0
0.941849,-0.0176995,0
0.943421,-0.0176938,0
0.944994,-0.0176881,0
0.946566,-0.0176823,0
0.948138,-0.0176764,0
0.949711,-0.0176704,0
0.951283,-0.0176643,0
0.952855,-0.0176582,0
0.954428,-0.0176519,0
0.956,-0.0176457,0
0.957573,-0.0176393,0
0.959145,-0.0176329,0
0.960717,-0.0176264,0
0.96229,-0.0176198,0
0.963862,-0.0176132,0
0.965434,-0.0176065,0
0.967007,-0.0175998,0
0.968579,-0.017593,0
0.970151,-0.0175862,0
0.971724,-0.0175793,0
0.973296,-0.0175724,0
0.974869,-0.0175655,0
0.976441,-0.0175585,0
0.978013,-0.0175514,0
0.979586,-0.0175437,0
0.981158,-0.0175353,0
0.98273,-0.0175263,0
0.984303,-0.0175167,0
0.985875,-0.0175064,0
0.987448,-0.0174955,0
0.98902,-0.017484,0
0.990592,-0.0174718,0
0.992165,-0.0174591,0
0.993737,-0.0174458,0
0.995309,-0.0174319,0
0.996882,-0.0174175,0
0.998454,-0.0174025,0
